comparison,question_id,mad,accuracy_proxy,pearson_correlation,n_participants
model_vs_average_of_3_llms,S1,0.48497854077253216,0.5150214592274678,-0.04508950831377596,233
model_vs_average_of_3_llms,S10,32.30758226037196,0.6769241773962804,-0.12424254572506649,233
model_vs_average_of_3_llms,S11,0.7010014306151644,0.7663328564616119,0.07874226864373536,233
model_vs_average_of_3_llms,S2,0.3590844062947067,0.8204577968526466,0.0,233
model_vs_average_of_3_llms,S3,0.9284692417739627,0.6905102527420124,-0.02902885667810908,233
model_vs_average_of_3_llms,S4,0.748211731044349,0.8129470672389127,0.12518468786470974,233
model_vs_average_of_3_llms,S5,0.898426323319027,0.8203147353361946,-0.21114243193570373,233
model_vs_average_of_3_llms,S6,0.8369098712446352,0.8605150214592274,-0.2144053423780907,233
model_vs_average_of_3_llms,S7,1.542203147353362,0.6144492131616595,-0.12298024566184776,233
model_vs_average_of_3_llms,S8,1.5608011444921315,0.6097997138769671,-0.4065733286184532,233
model_vs_average_of_3_llms,S9,1.9198855507868384,0.5200286123032904,0.0813613352188249,233
model_vs_predicted_answers-sonnet4.6-J,S1,0.48068669527896996,0.5193133047210301,-0.07766394615955068,233
model_vs_predicted_answers-sonnet4.6-J,S10,40.44635193133047,0.5955364806866953,-0.09021937064479016,233
model_vs_predicted_answers-sonnet4.6-J,S11,1.2703862660944205,0.5765379113018598,-0.04618443293787214,233
model_vs_predicted_answers-sonnet4.6-J,S2,0.7896995708154506,0.6051502145922747,0.0,233
model_vs_predicted_answers-sonnet4.6-J,S3,1.0600858369098713,0.6466380543633763,0.0027045893427852024,233
model_vs_predicted_answers-sonnet4.6-J,S4,1.3175965665236051,0.6706008583690988,0.010122066937864447,233
model_vs_predicted_answers-sonnet4.6-J,S5,1.6351931330472103,0.672961373390558,-0.16710704948724578,233
model_vs_predicted_answers-sonnet4.6-J,S6,1.1888412017167382,0.801859799713877,-0.11792140405384027,233
model_vs_predicted_answers-sonnet4.6-J,S7,0.9957081545064378,0.7510729613733905,-0.10054327057252231,233
model_vs_predicted_answers-sonnet4.6-J,S8,1.1030042918454936,0.7242489270386265,-0.33479039968615326,233
model_vs_predicted_answers-sonnet4.6-J,S9,2.004291845493562,0.4989270386266095,0.17482846231527727,233
model_vs_predictions_233_respondents,S1,0.3562231759656652,0.6437768240343348,0.05245529051315251,233
model_vs_predictions_233_respondents,S10,34.137339055793994,0.6586266094420601,-0.17719626930597626,233
model_vs_predictions_233_respondents,S11,1.145922746781116,0.6180257510729614,0.12328506065108583,233
model_vs_predictions_233_respondents,S2,0.9012875536480687,0.5493562231759657,0.0,233
model_vs_predictions_233_respondents,S3,1.167381974248927,0.6108726752503577,-0.0924590532290378,233
model_vs_predictions_233_respondents,S4,0.7381974248927039,0.8154506437768241,0.14851950658445892,233
model_vs_predictions_233_respondents,S5,1.150214592274678,0.7699570815450644,-0.2568995209439049,233
model_vs_predictions_233_respondents,S6,0.9613733905579399,0.8397711015736766,-0.21541162217578072,233
model_vs_predictions_233_respondents,S7,1.9313304721030042,0.5171673819742489,0.07354404971667168,233
model_vs_predictions_233_respondents,S8,2.0944206008583692,0.4763948497854077,-0.19429115749524994,233
model_vs_predictions_233_respondents,S9,1.5879828326180256,0.6030042918454936,-0.01181209981533257,233
model_vs_respondent_predictions_233,S1,0.6180257510729614,0.3819742489270386,-0.05976103531425444,233
model_vs_respondent_predictions_233,S10,22.545064377682404,0.774549356223176,-0.018473166257609492,233
model_vs_respondent_predictions_233,S11,1.2145922746781115,0.5951359084406296,0.06342852984757147,233
model_vs_respondent_predictions_233,S2,0.47639484978540775,0.7618025751072961,0.0,233
model_vs_respondent_predictions_233,S3,0.927038626609442,0.6909871244635193,0.007385679172437462,233
model_vs_respondent_predictions_233,S4,0.9613733905579399,0.759656652360515,0.12127864382959684,233
model_vs_respondent_predictions_233,S5,0.6137339055793991,0.8772532188841202,-0.042344268745250165,233
model_vs_respondent_predictions_233,S6,1.1244635193133048,0.8125894134477826,-0.2301789383953291,233
model_vs_respondent_predictions_233,S7,1.888412017167382,0.5278969957081545,-0.1795056455822889,233
model_vs_respondent_predictions_233,S8,1.742489270386266,0.5643776824034334,-0.31039622374125325,233
model_vs_respondent_predictions_233,S9,2.167381974248927,0.4581545064377682,-0.08141282884204816,233
